X;Y;Z;Pitch;Yaw;Roll;Time
-2227.1;-36631.0;19458.9;0.0;-108.8;0.0;0.3;
-2236.6;-36653.9;19001.6;0.0;-108.8;0.0;1.0;
-2230.1;-36649.5;17525.0;0.0;-108.8;0.0;2.0;
-2228.7;-36647.3;15059.8;0.0;-108.8;0.0;3.0;
-2228.6;-36647.8;11611.7;0.0;-108.8;0.0;4.0;
-2229.0;-36648.1;7603.3;0.0;-108.8;0.0;5.0;
-2228.7;-36646.9;3593.8;0.0;-108.8;0.0;6.0;
-2228.8;-36645.9;-414.6;0.0;-108.8;0.0;7.0;
-2228.9;-36645.7;-4418.9;0.0;-108.8;0.0;8.0;
-2228.1;-36649.7;-8380.5;0.0;-108.8;0.0;9.0;
-2225.6;-36653.8;-12388.6;0.0;-108.8;0.0;10.0;
